event type	camera position	camera rotation	oxygen	oxygen two	suit pressure	battery	body temperature	water	heart rate	timestamp	task text	task setp	procedure number	
Start procedure	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	836.7032	3600	4.701	99.55991	100.01	6.956003	66.01	9/10/2018 10:51:52 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	821.6069	3600	4.691	99.0798	99.90998	6.908007	65.90998	9/10/2018 10:52:00 PM	Use the PANEL ACCESS KEY to unlock the PANEL ACCESS DOOR LOCKS.	2	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	817.408	3600	4.690001	98.92977	99.89998	6.893008	65.89998	9/10/2018 10:52:03 PM	Carefully return keys to the side of the EVA kit.	3	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	815.5084	3600	4.691	98.87976	99.90998	6.888008	65.90998	9/10/2018 10:52:04 PM	Insert your fingers in the CENTER OPENING and secure the PANEL ACCESS DOOR in an OPEN position.	4	1	
Next task	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 1.0)	814.5087	3600	4.690001	98.84975	99.89998	6.885008	65.89998	9/10/2018 10:52:05 PM	On your belt, use the BLUE CARABINEER to securely tether to the TETHER CABLE inside the STORAGE.	5	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	792.814	3600	4.685001	98.1096	99.84997	6.811014	65.84997	9/10/2018 10:52:17 PM	Locate the E-stop button, insert keys into it and turn it to off	6	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	791.7142	3600	4.683001	98.04958	99.82996	6.805014	65.82996	9/10/2018 10:52:18 PM	Locate the FUSIBLE DISCONNECT box	7	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	790.0146	3600	4.678001	97.98957	99.77995	6.799015	65.77995	9/10/2018 10:52:19 PM	Tether the BLUE CARABINEER to the TETHER CABLE	8	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	789.5148	3600	4.679001	97.97957	99.78996	6.798015	65.78996	9/10/2018 10:52:19 PM	Remove the BLUE CARABINEER from the FUSIBLE DISCONNECT BOX	9	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	788.3151	3600	4.673002	97.91956	99.72994	6.792015	65.72994	9/10/2018 10:52:20 PM	Transfer the BLUE CARABINEER to STORAGE	10	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	787.7152	3600	4.673002	97.89955	99.72994	6.790015	65.72994	9/10/2018 10:52:20 PM	Open the FUSIBLE DISCONNECT box and secure the lid in the open position	11	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	786.3156	3600	4.677001	97.86954	99.76995	6.787015	65.76995	9/10/2018 10:52:21 PM	Locate the BLACK DISCONNECT	12	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	785.3158	3600	4.675002	97.83954	99.74995	6.784016	65.74995	9/10/2018 10:52:21 PM	Tether it to the TETHER CABLE	13	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	784.0161	3600	4.675002	97.77953	99.74995	6.778016	65.73994	9/10/2018 10:52:22 PM	Remove the DISCONNECT	14	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	781.6167	3600	4.669002	97.6595	99.68993	6.766017	65.68993	9/10/2018 10:52:23 PM	Place the DISCONNECT in the STORAGE	15	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	779.8171	3600	4.664002	97.58949	99.63992	6.759017	65.63992	9/10/2018 10:52:24 PM	Tether the FUSE ACCESS PANEL to the TETHER CABLE	16	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	768.4199	3600	4.655003	97.10938	99.5499	6.711021	65.5399	9/10/2018 10:52:30 PM	Remove the FUSE ACCESS PANEL by pulling straght up	17	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	767.5201	3600	4.653003	97.05937	99.5299	6.706021	65.5199	9/10/2018 10:52:31 PM	Place the FUSE ACCESS PANEL into STORAGE	18	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	766.3204	3600	4.652003	97.00936	99.5199	6.701022	65.5299	9/10/2018 10:52:31 PM	Tether the ALARM FUSE to the TETHER CABLE	19	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	765.4207	3600	4.653003	96.97935	99.5299	6.698022	65.5399	9/10/2018 10:52:32 PM	In Storage, locate the BLUE FUSE PULLER	20	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	764.3209	3600	4.650003	96.92934	99.49989	6.693022	65.49989	9/10/2018 10:52:33 PM	Use the BLUE FUSE PULLER to remove ONLY the ALARM FUSE	21	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	763.921	3600	4.655003	96.92934	99.5499	6.693022	65.5499	9/10/2018 10:52:33 PM	Return the ALARM FUSE and the FUSE PULLER to STORAGE	22	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	763.0212	3600	4.655003	96.90934	99.5499	6.691022	65.55991	9/10/2018 10:52:33 PM	In STORAGE, locate the FUSE ACCESS PANEL and reinstall it into the FUSIBLE DISCONNECT box.	23	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	762.4214	3600	4.656003	96.89934	99.55991	6.690022	65.5499	9/10/2018 10:52:34 PM	Remove the FUSE ACCESS PANEL tether from the TETHER CABLE and stow inside	24	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	761.3217	3600	4.653003	96.82932	99.5299	6.683023	65.5299	9/10/2018 10:52:34 PM	In STORAGE, locate the DISCONNECT and reinstall it into the FUSIBLE DISCONNECT box	25	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	760.6218	3600	4.651003	96.79932	99.5099	6.680023	65.5099	9/10/2018 10:52:34 PM	Remove the DISCONNECT tether from the TETHER CABLE	26	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	760.022	3600	4.649004	96.77931	99.48989	6.678023	65.47989	9/10/2018 10:52:35 PM	Close the FUSIBLE DISCONNECT box cover	27	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	759.6221	3600	4.648004	96.75931	99.47989	6.676023	65.46989	9/10/2018 10:52:35 PM	In STORAGE, use the BLUE CARABINEER to clip and lock the FUSIBLE DISCONNECT box cover	28	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	759.2222	3600	4.647004	96.7393	99.46989	6.674024	65.46989	9/10/2018 10:52:35 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	758.8223	3600	4.647004	96.7293	99.46989	6.673024	65.46989	9/10/2018 10:52:35 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	758.1224	3600	4.651003	96.6993	99.5099	6.670024	65.5099	9/10/2018 10:52:36 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	757.7225	3600	4.653003	96.68929	99.5299	6.669024	65.5399	9/10/2018 10:52:36 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	757.4226	3600	4.653003	96.67929	99.5299	6.668024	65.5299	9/10/2018 10:52:36 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	757.2227	3600	4.654003	96.67929	99.5399	6.668024	65.5399	9/10/2018 10:52:37 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	756.7228	3600	4.651003	96.64928	99.5099	6.665024	65.5099	9/10/2018 10:52:37 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	756.4229	3600	4.651003	96.64928	99.5099	6.665024	65.5099	9/10/2018 10:52:37 PM	Remove the BLUE CARABINEER?s tether from the TETHER CABLE	29	1	
Next Procedure	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	740.7267	3600	4.635005	96.07916	99.34986	6.608028	65.34986	9/10/2018 10:52:45 PM	Locate the Aux. Power Input	1	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	721.5314	3600	4.618006	95.43903	99.17982	6.544033	65.17982	9/10/2018 10:52:56 PM	Locate BATTERY PACK and tether to TETHER CABLE	2	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	720.3317	3600	4.616006	95.39902	99.15982	6.540033	65.15982	9/10/2018 10:52:57 PM	Undo the BATTERY PACK LEADS from the AUX. POWER INPUT	3	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	719.6318	3600	4.616006	95.38902	99.15982	6.539033	65.15982	9/10/2018 10:52:57 PM	Remove BATTERY PACK from AUX. POWER INPUT	4	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	719.3319	3600	4.619006	95.37901	99.18983	6.538033	65.18983	9/10/2018 10:52:57 PM	Locate the ON/OFF switch on the back of the BATTERY PACK and switch it to the OFF position.	5	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	718.5321	3600	4.614006	95.329	99.13982	6.533034	65.13982	9/10/2018 10:52:58 PM	Place the BATTERY PACK into STORAGE	6	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	718.0322	3600	4.616006	95.309	99.15982	6.531034	65.15982	9/10/2018 10:52:58 PM	In STORAGE, find the replacement BATTERY PACK	7	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	717.8323	3600	4.615006	95.299	99.14982	6.530034	65.13982	9/10/2018 10:52:58 PM	Locate the ON/OFF switch on the back of the BATTERY PACK and switch it to the ON position	8	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	716.9325	3600	4.613006	95.26899	99.12981	6.527034	65.12981	9/10/2018 10:52:59 PM	Attach the replacement BATTERY PACK onto the AUX. POWER INPUT by the Velcro	9	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	715.8328	3600	4.613006	95.22898	99.12981	6.523035	65.12981	9/10/2018 10:52:59 PM	Insert the BATTERY PACK leads back into same colored ports	10	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	715.033	3600	4.617006	95.20898	99.16982	6.521035	65.17982	9/10/2018 10:53:00 PM	Conduct a GENTLE PULL TEST on the wires	11	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	714.3331	3600	4.617006	95.18897	99.16982	6.519035	65.16982	9/10/2018 10:53:00 PM	Remove the BATTERY PACK tether from the TETHER CABLE	12	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	713.8333	3600	4.617006	95.17897	99.16982	6.518035	65.15982	9/10/2018 10:53:01 PM	In STORAGE, locate the GRAY 220 Volt PLUG	13	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	713.3334	3600	4.615006	95.14896	99.14982	6.515035	65.14982	9/10/2018 10:53:01 PM	Install it into the POWER OUT	14	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	712.9335	3600	4.615006	95.14896	99.14982	6.515035	65.13982	9/10/2018 10:53:01 PM	Locate the metal BUSS BAR and verify there are BLACK, GREEN & WHITE BUSSES, each with 2 openings	15	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	712.5336	3600	4.616006	95.12896	99.15982	6.513035	65.16982	9/10/2018 10:53:01 PM	Insert the WHITE 220 VOLT LEAD into the LEFT WHITE BUSS opening and GENTLY TIGHTEN the thumbscrew	16	2	
Next task	(0.0, 0.0, 0.0)	(-0.1, 0.0, 0.0, 1.0)	711.9337	3600	4.616006	95.11896	99.15982	6.512035	65.14982	9/10/2018 10:53:02 PM	Insert the GREEN 220 VOLT LEAD into the LEFT GREEN BUS opening	17	2	
