event type	camera position	camera rotation	oxygen	oxygen two	suit pressure	battery	body temperature	water	heart rate	timestamp	task text	task setp	procedure number	
voice command failed	(0.0, 0.0, 0.0)	(0.0, 0.2, 0.0, 1.0)	841.4021	3600	4.690001	99.72994	99.89998	6.973002	65.89998	9/10/2018 11:24:11 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
tried reset heart rate not zoomed	(0.7, 0.0, -0.1)	(0.0, 0.1, 0.0, 1.0)	840.8022	3600	4.689001	99.68993	99.88998	6.969002	65.88998	9/10/2018 11:24:11 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
show Details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	831.5045	3600	4.698	99.40987	99.98	6.941004	65.98	9/10/2018 11:24:17 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
close details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	827.2056	3600	4.698	99.25984	99.98	6.926005	65.98	9/10/2018 11:24:19 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
show Details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	826.2058	3600	4.701	99.19983	100.01	6.920006	66.01	9/10/2018 11:24:20 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
close details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	826.0059	3600	4.702	99.18983	100.02	6.919006	66.01	9/10/2018 11:24:20 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
show Details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	825.606	3600	4.7	99.16982	100	6.917006	66	9/10/2018 11:24:20 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
close details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	825.306	3600	4.702	99.16982	100.02	6.917006	66.03001	9/10/2018 11:24:20 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
show Details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	825.0061	3600	4.703	99.14982	100.03	6.915006	66.03001	9/10/2018 11:24:21 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
close details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	824.8062	3600	4.704	99.14982	100.04	6.915006	66.05001	9/10/2018 11:24:21 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
show Details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	823.6064	3600	4.705999	99.10981	100.06	6.911006	66.07001	9/10/2018 11:24:22 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
close details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	823.1066	3600	4.705999	99.08981	100.06	6.909007	66.05001	9/10/2018 11:24:22 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
show Details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	822.0068	3600	4.704	99.03979	100.04	6.904007	66.04001	9/10/2018 11:24:22 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
close details	(7.9, 0.1, -2.0)	(0.0, -0.3, 0.0, 0.9)	820.6072	3600	4.704999	99.00979	100.05	6.901007	66.05001	9/10/2018 11:24:23 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
tried reset heart rate not zoomed	(7.9, 0.1, -2.0)	(0.1, -0.6, 0.1, 0.8)	815.5084	3600	4.702	98.76974	100.02	6.877009	66.02	9/10/2018 11:24:26 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
voice command failed	(7.8, 0.1, -2.0)	(0.1, -0.6, 0.1, 0.8)	815.3085	3600	4.702	98.74973	100.02	6.875009	66.02	9/10/2018 11:24:27 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
tried reset heart rate not zoomed	(5.2, -1.1, -6.5)	(0.0, -0.9, 0.1, 0.4)	814.1088	3600	4.704	98.70972	100.04	6.871009	66.04001	9/10/2018 11:24:27 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
voice command failed	(1.5, -3.4, -21.2)	(0.1, 0.1, 0.0, 1.0)	809.7098	3600	4.707999	98.6097	100.08	6.86101	66.08002	9/10/2018 11:24:29 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
voice command failed	(1.2, -3.2, -22.3)	(0.1, 0.2, 0.0, 1.0)	809.4099	3600	4.706999	98.5997	100.07	6.86001	66.07001	9/10/2018 11:24:29 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
voice command failed	(0.9, -2.9, -23.2)	(0.1, 0.2, 0.0, 1.0)	809.21	3600	4.708999	98.5997	100.09	6.86001	66.09002	9/10/2018 11:24:29 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
voice command failed	(0.5, -2.7, -24.3)	(0.1, 0.2, 0.0, 1.0)	809.01	3600	4.707999	98.5897	100.08	6.85901	66.08002	9/10/2018 11:24:30 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
voice command failed	(-0.2, -2.2, -25.9)	(0.1, 0.2, 0.0, 1.0)	808.4102	3600	4.708999	98.5797	100.09	6.85801	66.09002	9/10/2018 11:24:30 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
Start procedure	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	791.5143	3600	4.7	97.98957	100	6.799015	66	9/10/2018 11:24:40 PM	On the RIGHT side of the EVA Kit, locate the PANEL ACCESS KEY.	1	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	782.9164	3600	4.701	97.72952	100.01	6.773016	66	9/10/2018 11:24:44 PM	Use the PANEL ACCESS KEY to unlock the PANEL ACCESS DOOR LOCKS.	2	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	780.0171	3600	4.701	97.6395	100.01	6.764017	66.01	9/10/2018 11:24:46 PM	Carefully return keys to the side of the EVA kit.	3	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	779.1173	3600	4.702	97.59949	100.02	6.760017	66.02	9/10/2018 11:24:46 PM	Insert your fingers in the CENTER OPENING and secure the PANEL ACCESS DOOR in an OPEN position.	4	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	777.8176	3600	4.702	97.56948	100.02	6.757018	66.02	9/10/2018 11:24:47 PM	On your belt, use the BLUE CARABINEER to securely tether to the TETHER CABLE inside the STORAGE.	5	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	776.7179	3600	4.704	97.52947	100.04	6.753018	66.04001	9/10/2018 11:24:48 PM	Locate the E-stop button, insert keys into it and turn it to off	6	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	775.5182	3600	4.703	97.48946	100.03	6.749018	66.03001	9/10/2018 11:24:48 PM	Locate the FUSIBLE DISCONNECT box	7	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	775.0183	3600	4.702	97.46946	100.02	6.747018	66.02	9/10/2018 11:24:49 PM	Tether the BLUE CARABINEER to the TETHER CABLE	8	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	773.6187	3600	4.701	97.39944	100.01	6.740019	66.01	9/10/2018 11:24:49 PM	Remove the BLUE CARABINEER from the FUSIBLE DISCONNECT BOX	9	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	772.4189	3600	4.699	97.32943	99.99	6.733019	65.99	9/10/2018 11:24:50 PM	Transfer the BLUE CARABINEER to STORAGE	10	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	771.5192	3600	4.698	97.29942	99.98	6.73002	65.98	9/10/2018 11:24:51 PM	Open the FUSIBLE DISCONNECT box and secure the lid in the open position	11	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	770.5194	3600	4.702	97.29942	100.02	6.73002	66.02	9/10/2018 11:24:51 PM	Locate the BLACK DISCONNECT	12	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	768.9198	3600	4.7	97.21941	100	6.72202	65.99	9/10/2018 11:24:52 PM	Tether it to the TETHER CABLE	13	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	767.92	3600	4.699	97.1894	99.99	6.71902	65.99	9/10/2018 11:24:52 PM	Remove the DISCONNECT	14	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	767.0203	3600	4.697	97.13939	99.96999	6.714021	65.95999	9/10/2018 11:24:53 PM	Place the DISCONNECT in the STORAGE	15	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	765.7206	3600	4.693	97.04937	99.92999	6.705021	65.91998	9/10/2018 11:24:54 PM	Tether the FUSE ACCESS PANEL to the TETHER CABLE	16	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	761.5216	3600	4.691	96.92934	99.90998	6.693022	65.90998	9/10/2018 11:24:56 PM	Remove the FUSE ACCESS PANEL by pulling straght up	17	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	760.2219	3600	4.687001	96.87933	99.86997	6.688023	65.86997	9/10/2018 11:24:56 PM	Place the FUSE ACCESS PANEL into STORAGE	18	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	759.0222	3600	4.683001	96.81932	99.82996	6.682023	65.82996	9/10/2018 11:24:57 PM	Tether the ALARM FUSE to the TETHER CABLE	19	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	757.9225	3600	4.681001	96.77931	99.80996	6.678023	65.80996	9/10/2018 11:24:58 PM	In Storage, locate the BLUE FUSE PULLER	20	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	757.0227	3600	4.687001	96.76931	99.86997	6.677023	65.87997	9/10/2018 11:24:58 PM	Use the BLUE FUSE PULLER to remove ONLY the ALARM FUSE	21	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	756.3229	3600	4.690001	96.7293	99.89998	6.673024	65.89998	9/10/2018 11:24:59 PM	Return the ALARM FUSE and the FUSE PULLER to STORAGE	22	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	755.5231	3600	4.690001	96.6993	99.89998	6.670024	65.89998	9/10/2018 11:24:59 PM	In STORAGE, locate the FUSE ACCESS PANEL and reinstall it into the FUSIBLE DISCONNECT box.	23	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	755.0232	3600	4.693	96.6993	99.92999	6.670024	65.93999	9/10/2018 11:25:00 PM	Remove the FUSE ACCESS PANEL tether from the TETHER CABLE and stow inside	24	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	754.2234	3600	4.696	96.68929	99.95999	6.669024	65.95999	9/10/2018 11:25:00 PM	In STORAGE, locate the DISCONNECT and reinstall it into the FUSIBLE DISCONNECT box	25	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	753.8235	3600	4.703	96.68929	100.03	6.669024	66.03001	9/10/2018 11:25:01 PM	Remove the DISCONNECT tether from the TETHER CABLE	26	1	
Next task	(-0.7, -1.9, -27.2)	(0.1, 0.1, 0.0, 1.0)	753.2236	3600	4.703	96.67929	100.03	6.668024	66.03001	9/10/2018 11:25:01 PM	Close the FUSIBLE DISCONNECT box cover	27	1	
